Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2021,3,San Luis,8417.0,11884.0,27.0,68856.0,28680.0,117716,148.0,79.87,22.857
2021,3,Santa Cruz,12347.0,22961.0,6328.0,4269.0,3071.0,48779,197.0,43.747,13.016
2021,3,Santa Fe,245929.0,443156.0,93412.0,43447.0,15640.0,841433,151.0,75.017,23.588
2021,3,Santiago Del Estero,19939.0,85535.0,909.0,6147.0,2928.0,115457,1.0,47.0,11.661
2021,3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,49934,289.0,94.954,28.15
2021,3,Tucumán,104489.0,53868.0,70964.0,2408.0,743.0,232447,25.0,54.636,13.533
2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4127167,5184.0,70.003,23.352
2021,2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1398747,1608.0,110.144,45.487
2021,2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55743,1.0,52.34,13.314
2021,2,Chaco,39826.0,62948.0,27584.0,8018.0,2353.0,140726,3.0,43.328,11.58
2021,2,Chubut,49271.0,41497.0,6081.0,23682.0,18706.0,138412,825.0,72.294,22.16
2021,2,Córdoba,239780.0,467782.0,151855.0,55944.0,15519.0,930818,62.0,80.115,24.528
2021,2,Corrientes,46648.0,67262.0,3731.0,6557.0,5303.0,129498,3.0,43.541,11.465
2021,2,Entre Ríos,77836.0,124957.0,17856.0,23786.0,13197.0,257617,15.0,61.66,18.436
2021,2,Formosa,19571.0,12509.0,3610.0,15690.0,171.0,51551,0.0,33.225,8.456
2021,2,Jujuy,24738.0,60800.0,19611.0,2731.0,3968.0,111848,0.0,56.182,14.367
2021,2,La Pampa,9017.0,57014.0,17132.0,13209.0,1295.0,97551,116.0,82.08,27.044
2021,2,La Rioja,11627.0,54255.0,9445.0,6245.0,30.0,81599,3.0,76.979,20.492
2021,2,Mendoza,91503.0,70834.0,44696.0,21811.0,827.0,229052,619.0,40.973,11.434
2021,2,Misiones,44960.0,87861.0,10376.0,5317.0,7662.0,156176,0.0,45.013,12.26
2021,2,Neuquén,30083.0,72690.0,15619.0,19218.0,640.0,137877,373.0,69.14,20.58
2021,2,Río Negro,48189.0,43761.0,18727.0,15031.0,18376.0,143583,501.0,61.942,19.052
2021,2,Salta,51396.0,96016.0,32050.0,5724.0,6453.0,191637,2.0,54.93,13.303
2021,2,San Juan,40072.0,12369.0,6673.0,11372.0,8447.0,78677,256.0,39.284,10.007
2021,2,San Luis,8417.0,11308.0,28.0,66860.0,36205.0,122670,148.0,83.478,23.891
2021,2,Santa Cruz,12347.0,22967.0,6328.0,4269.0,3071.0,48785,197.0,44.015,13.097
